Code,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10
11,0.034482758620689655,0.0,0.03125,0.03125,0.06666666666666667,0.0,0.06666666666666667,0.0,0.034482758620689655,0.0,0.03125,0.0,0.0,0.06451612903225806,0.06666666666666667,0.03333333333333333,0.0625,0.03333333333333333,0.03333333333333333,0.03125,0.06451612903225806,0.06451612903225806,0.0,0.03225806451612903,0.0,0.06896551724137931,0.06451612903225806,0.03125,0.030303030303030304,0.03225806451612903
12,0.06896551724137931,0.06666666666666667,0.0625,0.03125,0.13333333333333333,0.0625,0.1,0.06451612903225806,0.034482758620689655,0.03225806451612903,0.09375,0.06666666666666667,0.03333333333333333,0.06451612903225806,0.06666666666666667,0.0,0.0625,0.03333333333333333,0.06666666666666667,0.03125,0.0,0.06451612903225806,0.06666666666666667,0.12903225806451613,0.06451612903225806,0.034482758620689655,0.16129032258064516,0.09375,0.030303030303030304,0.06451612903225806
13,0.0,0.03333333333333333,0.0,0.03125,0.0,0.0625,0.0,0.03225806451612903,0.034482758620689655,0.03225806451612903,0.03125,0.0,0.03333333333333333,0.03225806451612903,0.03333333333333333,0.0,0.03125,0.03333333333333333,0.0,0.0625,0.03225806451612903,0.0,0.03333333333333333,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03125,0.030303030303030304,0.03225806451612903
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.3103448275862069,0.36666666666666664,0.3125,0.25,0.36666666666666664,0.375,0.43333333333333335,0.41935483870967744,0.3103448275862069,0.3225806451612903,0.375,0.3333333333333333,0.3333333333333333,0.3225806451612903,0.26666666666666666,0.43333333333333335,0.40625,0.36666666666666664,0.3,0.46875,0.3870967741935484,0.2903225806451613,0.4,0.3548387096774194,0.3870967741935484,0.3793103448275862,0.2903225806451613,0.28125,0.30303030303030304,0.3548387096774194
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.03333333333333333,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.06666666666666667,0.03225806451612903,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0
88012,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.03125,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
